BusStopCode,Description,Latitude,Longitude,Location
07241,Bef S'Goon Rd,1.31557142083242,103.85900616698896,07241 Bef S'Goon Rd
07249,Aft Kempas Rd,1.315368056,103.8594669,07249 Aft Kempas Rd
07319,Aft Allenby Rd,1.31038833299803,103.85870666696984,07319 Aft Allenby Rd
07329,Hoa Nam Bldg,1.31284472583438,103.85989088288474,07329 Hoa Nam Bldg
07331,Aft King George's Ave,1.30824994545395,103.8589096071918,07331 Aft King George's Ave
07351,ARC 380,1.31351833300073,103.86054527803076,07351 ARC 380
07359,OPP ARC 380,1.31368253065979,103.86071451807119,07359 OPP ARC 380
07361,Bef Kallang Bahru,1.31167636068313,103.86189483728585,07361 Bef Kallang Bahru
07369,Aft Kallang Bahru,1.31140805601851,103.86237888899062,07369 Aft Kallang Bahru
07371,Aft Kallang Rd,1.30950750000455,103.86350138902452,07371 Aft Kallang Rd
07379,Aperia/Bef Kallang Rd,1.31017336740849,103.86338225534827,07379 Aperia/Bef Kallang Rd
07419,Opp Veerasamy Rd,1.30653024120879,103.8561630249311,07419 Opp Veerasamy Rd
07517,IBIS S'PORE ON BENCOOLEN,1.30145216158073,103.85247781934106,07517 IBIS S'PORE ON BENCOOLEN
07518,OPP NAFA CAMPUS 3,1.30095828368506,103.85211175034802,07518 OPP NAFA CAMPUS 3
07529,JLN BESAR STN EXIT A,1.30431906266143,103.85501564257024,07529 JLN BESAR STN EXIT A
07531,Rochor Stn,1.30365644370093,103.8525732326128,07531 Rochor Stn
07539,Opp Rochor Stn,1.30461300741211,103.8520009720951,07539 Opp Rochor Stn
07551,Fu Lu Shou Cplx,1.30171975809706,103.8546132267025,07551 Fu Lu Shou Cplx
07561,Bef Waterloo St,1.29945446471936,103.85267983857253,07561 Bef Waterloo St
07569,Aft Waterloo St,1.29949531348401,103.85301395376233,07569 Aft Waterloo St
07571,SUNSHINE PLAZA,1.30063444632288,103.85114009314601,07571 SUNSHINE PLAZA
07589,Ch of Our Lady of Lourdes,1.30320609782822,103.85549999983388,07589 Ch of Our Lady of Lourdes
08011,Opp Haw Par Glass Twr,1.29706985017362,103.84361028672502,08011 Opp Haw Par Glass Twr
08019,Aft Haw Par Glass Twr,1.29624633745957,103.84407009228418,08019 Aft Haw Par Glass Twr
08031,Dhoby Ghaut Stn Exit B,1.29831153783592,103.8452569595532,08031 Dhoby Ghaut Stn Exit B
08041,YMCA,1.29811014243867,103.84780636909545,08041 YMCA
08057,Dhoby Ghaut Stn,1.29930997279734,103.84529021429745,08057 Dhoby Ghaut Stn
08058,Aft Dhoby Ghaut Stn,1.2989583431631,103.84654115271174,08058 Aft Dhoby Ghaut Stn
08069,Bencoolen Stn Exit B,1.29821382250893,103.84936128375956,08069 Bencoolen Stn Exit B
08079,Sch of the Arts,1.29921444445586,103.84910329217985,08079 Sch of the Arts
08111,Winsland Hse,1.29986928715834,103.84093746088925,08111 Winsland Hse
08121,Somerset Stn,1.30027569326586,103.83877618459663,08121 Somerset Stn
08137,Orchard Plaza,1.30073968408393,103.84100500816844,08137 Orchard Plaza
08138,Concorde Hotel S'pore,1.3004785730821,103.84184700607595,08138 Concorde Hotel S'pore
09011,Opp Ngee Ann City,1.30211335092372,103.83431672376756,09011 Opp Ngee Ann City
09022,ORCHARD STN EXIT 13,1.30252834773643,103.83239784275958,09022 ORCHARD STN EXIT 13
09023,Opp Orchard Stn/ION,1.30323727330942,103.83254180023424,09023 Opp Orchard Stn/ION
09037,Bef Cairnhill Rd,1.3023400420296,103.83701253388183,09037 Bef Cairnhill Rd
09038,Opp Somerset Stn,1.30154262450563,103.83852481842337,09038 Opp Somerset Stn
09047,Orchard Stn/Tang Plaza,1.30446065207443,103.83294467208566,09047 Orchard Stn/Tang Plaza
09048,Orchard Stn/Lucky Plaza,1.30386684425114,103.83413070051408,09048 Orchard Stn/Lucky Plaza
09059,Somerset Youth Pk,1.30044251755834,103.83623804216019,09059 Somerset Youth Pk
09111,Opp Four Seasons Hotel,1.30453752623147,103.82914529614989,09111 Opp Four Seasons Hotel
09121,Bef Tomlinson Rd,1.30397379238249,103.82699645124522,09121 Bef Tomlinson Rd
09131,OPP ORCHARD BLVD STN,1.30391999998489,103.82333805603095,09131 OPP ORCHARD BLVD STN
09139,ORCHARD BLVD STN EXIT 1,1.303528,103.823585,09139 ORCHARD BLVD STN EXIT 1
09141,British Council,1.30543500002797,103.82177666702269,09141 British Council
09149,Opp British Council,1.30608981381948,103.8212215023314,09149 Opp British Council
09159,Aft Tomlinson Rd,1.30602637557418,103.82568042620605,09159 Aft Tomlinson Rd
09169,Delfi Orchard,1.3070135326348,103.82835507326037,09169 Delfi Orchard
09179,Royal Thai Embassy,1.30587966240898,103.83049004618626,09179 Royal Thai Embassy
09191,Aft Cuscaden Rd,1.30488653118311,103.82549755834486,09191 Aft Cuscaden Rd
09212,Royal Plaza On Scotts,1.30702238421536,103.83265522662566,09212 Royal Plaza On Scotts
09213,Thong Teck Bldg,1.30783805600034,103.83305083303023,09213 Thong Teck Bldg
09219,Far East Plaza,1.30731999685228,103.83316088291699,09219 Far East Plaza
10009,Bt Merah Int,1.28210155945393,103.81722480263163,10009 Bt Merah Int
10011,BEF NEIL RD,1.2777380589964,103.83749709165197,10011 BEF NEIL RD
10017,Aft Hosp Dr,1.27832046633393,103.83762574759974,10017 Aft Hosp Dr
10018,OUTRAM PK STN EXIT 6/SGH,1.27900819665099,103.83860360621959,10018 OUTRAM PK STN EXIT 6/SGH
10021,Blk 3,1.27744837946643,103.83838894560753,10021 Blk 3
10041,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671,10041 BEF KAMPONG BAHRU TER
10049,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155,10049 OPP KAMPONG BAHRU TER
10051,Blk 149,1.2774116353284,103.83214410914843,10051 Blk 149
10059,Opp Blk 149,1.27739664167497,103.83275178077875,10059 Opp Blk 149
10061,Blk 140,1.27860472196885,103.82948638898173,10061 Blk 140
10069,Opp Blk 140,1.27855472196877,103.83008250001669,10069 Opp Blk 140
10071,Blk 111,1.28045309423663,103.82638920754815,10071 Blk 111
10079,Blk 201,1.2803950142786,103.82708906887606,10079 Blk 201
10081,Opp Blk 120,1.2822783541702,103.82241744338572,10081 Opp Blk 120
10089,Blk 119,1.28292332245689,103.82165660905856,10089 Blk 119
10091,Bt Merah Town Ctr,1.28394108576437,103.81783962251122,10091 Bt Merah Town Ctr
10099,Opp Bt Merah Town Ctr,1.28420923932422,103.81765723225827,10099 Opp Bt Merah Town Ctr
10101,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436,10101 OPP BT MERAH SEC SCH
10109,BT MERAH SEC SCH,1.28535315729277,103.81370529674271,10109 BT MERAH SEC SCH
10111,Opp Blk 28,1.28592835098556,103.80935410958449,10111 Opp Blk 28
10119,Opp Pacific Tech Ctr,1.28598009010704,103.81122515087834,10119 Opp Pacific Tech Ctr
10121,Blk 126 CP,1.28259924598805,103.82890541983913,10121 Blk 126 CP
10129,Blk 121,1.28231999999009,103.8285719444802,10129 Blk 121
10131,Opp Blk 2,1.28619141382394,103.80686549059318,10131 Opp Blk 2
10139,Blk 1 Jln Bt Merah,1.28635135443034,103.8081000223439,10139 Blk 1 Jln Bt Merah
10141,Blk 18,1.28583847140468,103.83238179897589,10141 Blk 18
10149,Blk 1 Tiong Bahru Rd,1.28606797463712,103.83283384311112,10149 Blk 1 Tiong Bahru Rd
10151,Ctrl Green Condo,1.28572048365401,103.8285292287095,10151 Ctrl Green Condo
10161,Opp Tiong Bahru Stn,1.28593135445772,103.82668969231534,10161 Opp Tiong Bahru Stn
10169,Tiong Bahru Stn,1.28599961406266,103.82748123930962,10169 Tiong Bahru Stn
10171,Opp Tiong Bahru Pk,1.28736808047078,103.82346004890803,10171 Opp Tiong Bahru Pk
10179,Tiong Bahru Pk,1.28722333302937,103.82395833301354,10179 Tiong Bahru Pk
10181,BEF AR-RABITAH MQUE,1.28850399420484,103.82109741719866,10181 BEF AR-RABITAH MQUE
10189,Blk 104A CP,1.28858805222806,103.82183192865197,10189 Blk 104A CP
10191,Blk 78,1.28860026020096,103.81903121724014,10191 Blk 78
10199,Delta Swim Cplx,1.28875723330649,103.81936618662205,10199 Delta Swim Cplx
10201,Opp Redhill Stn,1.28928144532567,103.81662854691157,10201 Opp Redhill Stn
10209,Redhill Stn,1.28954631749853,103.81672885450702,10209 Redhill Stn
10211,Porsche Ctr S'pore,1.29075499997303,103.81144166700754,10211 Porsche Ctr S'pore
10219,Opp Motor Image,1.29089526651849,103.81191424883255,10219 Opp Motor Image
10221,Ganges Ctr,1.29032906602668,103.83111793441608,10221 Ganges Ctr
10229,Opp Harvest Mansions,1.29052137840164,103.83178189529583,10229 Opp Harvest Mansions
10231,Blk 51 CP,1.29041850946952,103.82788100149519,10231 Blk 51 CP
10239,Blk 79,1.29060688839488,103.82865297447873,10239 Blk 79
10241,Gan Eng Seng Sec Sch,1.2906166672167,103.82362326803131,10241 Gan Eng Seng Sec Sch
10249,Opp Gan Eng Seng Sec Sch,1.29088138899671,103.82407777797806,10249 Opp Gan Eng Seng Sec Sch
10261,Delta Sports Hall,1.29090335842692,103.82047232884216,10261 Delta Sports Hall
10269,Opp Delta Sports Hall,1.29125331927458,103.82057583280772,10269 Opp Delta Sports Hall
10271,Opp Tanglin View,1.29115999997607,103.81757666701353,10271 Opp Tanglin View
10279,Tanglin View,1.29151373164978,103.81757660887743,10279 Tanglin View
10281,SIS Bldg,1.29153833298318,103.81445166697797,10281 SIS Bldg
10289,Opp SIS Bldg,1.2918699745378,103.81440639448375,10289 Opp SIS Bldg
10291,Bef Dawson Rd,1.29215855273858,103.81065866068086,10291 Bef Dawson Rd
10299,Aft Dawson Rd,1.29233498466278,103.81146486767658,10299 Aft Dawson Rd
10321,Aft Margaret Dr Tanglin Rd,1.29428332949691,103.81587839882768,10321 Aft Margaret Dr Tanglin Rd
10329,Crescent Girls' Sch,1.29364671283262,103.81597460107542,10329 Crescent Girls' Sch
10331,Bef Bt Merah Ctrl,1.28136306628839,103.81834423228645,10331 Bef Bt Merah Ctrl
10339,Aft Bt Merah Ctrl,1.28115835063292,103.81857250844851,10339 Aft Bt Merah Ctrl
10341,Opp Blk 116,1.28484639603431,103.82059301467888,10341 Opp Blk 116
10349,Blk 116,1.284977,103.821011,10349 Blk 116
10351,Blk 95B,1.28675501760897,103.82204990181914,10351 Blk 95B
10359,Opp Blk 95C,1.28723833324362,103.82259298997768,10359 Opp Blk 95C
10361,Cendex Ctr,1.28038092060065,103.82353025808791,10361 Cendex Ctr
10369,Opp Cendex Ctr,1.28037471151153,103.82387343933006,10369 Opp Cendex Ctr
10371,Blk 129,1.28365072319387,103.824502653383,10371 Blk 129
10379,Blk 25B,1.28373603376667,103.82489520929732,10379 Blk 25B
10381,Opp Blk 48,1.28906972186602,103.82559411728036,10381 Opp Blk 48
10389,Blk 48,1.28875832991208,103.82573455047122,10389 Blk 48
10391,Opp Melati Blk 2,1.27627105343758,103.8312563936613,10391 Opp Melati Blk 2
10399,Melati Blk 2,1.27588166292683,103.83019454205221,10399 Melati Blk 2
10401,Shriro Hse,1.28816729863,103.81167850401884,10401 Shriro Hse
10409,Blk 50,1.28788221830638,103.81099317775703,10409 Blk 50
10411,Opp Blk 53,1.28912979528004,103.81280840030111,10411 Opp Blk 53
10419,Blk 52,1.28842024220748,103.81257549749508,10419 Blk 52
10421,Blk 63B,1.288964,103.814975,10421 Blk 63B
10429,Blk 54,1.2892779060127,103.81404805422201,10429 Blk 54
10431,ENABLING VILLAGE,1.287195,103.813984,10431 ENABLING VILLAGE
10439,OPP ENABLING VILLAGE,1.28747956947939,103.81418936580334,10439 OPP ENABLING VILLAGE
